SMILES,MLM_Pred,HLM_Pred
CC[n+]1ccc(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/c2cc[n+](CC)cc2)cc1,32.37,44.56
CN1CCSC1=CC=CC=CC=CC1=[N+](C)CCS1,16.73,38.61
CC=CC=CC=CC=CC=CC(=O)C1=C(O)[C@@H](CCC(=O)O)N(C)C1=O,71.42,73.99
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+],34.24,45.0
CCCCn1c(=CC=CC=CC=CC2=[N+](CCCC)c3cccc4cccc2c34)c2cccc3cccc1c32,26.15,38.49
CC(C=CC=CC=CC=CC(=O)C1=C(O)C(CCC(=O)O)N(C)C1=O)=CC(C)C(O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1)C(C)C,72.75,76.02
CC1CC2OC(C=CC=CC=CC=CC=CC(=O)C3=C(O)N(C)C(C(C)C)C3=O)C(O)C2O1,70.69,74.55
CCN1C(=CC=CC=C2CCC(C=CC=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,25.81,35.57
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)=C2Cl)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,32.71,43.22
CN1/C(=C\C=C2/CCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,21.19,28.04
[K+].[K+].[O-]S([O-])(=O)=O,84.99,82.59
CN1/C(=C\C=C2/CCCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,20.74,27.58
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)SC1=S,13.49,12.02
CC(C=CC=C(C)C=CC(=O)[C@@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@H](O)CC1(C)C,28.96,34.57
CC(C=O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,20.87,25.43
CC(C=CC=C(C)C=CC(=O)[C@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,28.25,33.87
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21.[Na+],22.73,27.34
CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,28.69,34.74
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)O)c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,37.02,48.77
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,23.79,32.64
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,28.7,34.94
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21.[Br-],39.27,51.31
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O[Na])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,26.65,34.48
CC(C)(C)C1=CC(=CC=CC=Cc2cc(C(C)(C)C)c3ccccc3[o+]2)Oc2ccccc21,42.22,62.38
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C,28.76,33.6
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21.[I-],25.3,33.94
C[N+]1=C(C=CC=CC=CN2CCOCC2)C(C)(C)c2ccccc21,16.34,32.88
CN(C)/C=C/C=C/C=C1\CC[n+]2c1sc1ccccc12,12.8,23.86
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,24.57,28.78
CN1/C(=C/C=C/C=C2\c3cc([N+](=O)[O-])ccc3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C(C)(C)c2ccccc21,42.49,53.1
CC(C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C,34.27,40.79
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,30.78,37.73
CN1/C(=C\C=C\C=C\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,16.61,21.79
CN1/C(=C/C=C/C=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,16.06,21.05
CCN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,16.79,23.89
CCCCn1c(=CC=CC2=[N+](CCCC)c3cccc4cccc2c34)c2cccc3cccc1c32,25.07,37.39
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,22.36,30.4
CC[N+]1=C(C=CC=CC=CN(C)C)C(C)(C)c2c1ccc1ccccc21,12.11,16.12
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,21.57,26.05
CC(/C=C/C=C(\C)C(=O)[O-])=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)[O-].[Na+].[Na+],26.75,26.35
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,27.68,31.72
CN1/C(=C\C=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,24.17,35.19
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)/C(=C/c2ccc(N(C)C)cc2)CCC3)cc1,50.15,71.87
CCN1C(=CC=C2CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,34.21,51.95
C(=CC=CC=Cc1ccco1)C=CC=CC=NN/C(=N\c1ccccc1)c1ccccn1,21.43,40.95
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14.51,18.42
CN(C)/C=C/C=C/C=C1\c2ccccc2-c2ccc([N+](=O)[O-])cc21,30.21,41.41
O=[N+]([O-])C1=CC2=C(C=C1)C(C=CC=C3)=C3/C2=C\C=C\C=C\N(C)C,30.21,41.41
CCN1C(=O)/C(=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,12.49,12.62
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)ON1C(=O)CCC1=O,21.81,26.9
CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,25.11,35.7
CN(C)c1ccc(C=C2CCCC(=Cc3ccc([N+](=O)[O-])cc3)C2=O)cc1,24.87,32.71
CCN1C(=CC=C2CCC(=CC=C3Sc4ccc5ccccc5c4N3CC)C2=O)Sc2ccc3ccccc3c21,25.84,37.36
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\C=C\N(C)C)C1=O,28.74,52.53
[2H]C([2H])([2H])C(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCOC(C)=O,21.19,27.62
CCCCN(CCCC)c1ccc(C2=C([O-])C(=C3C=CC(=[N+](CCCC)CCCC)C=C3O)C2=O)c(O)c1,27.8,38.37
CN1C(=O)/C(=C(O)\C=C\C=C\C=C\C=C\C=C\C(=O)O)C(=O)[C@@H]1CO,84.54,84.87
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2C)Sc2ccccc21,19.33,26.62
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)C(=Cc2ccc(N(C)C)cc2)CCC3)cc1,42.6,62.11
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\N(C)C)C1=O,31.99,59.11
CN1C(=O)C(=C(O)C=CC=CC=C[C@H]2C=CCC[C@@H]2C=CC=CC=CC(O)=C2C(=O)[C@H](CO)N(C)C2=O)C(=O)[C@@H]1CO,83.97,87.83
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,14.59,14.37
CCN1/C(=C/C=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,20.49,29.25
CC(=O)N(/C=C/C=C/C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c2C1(C)C)c1ccccc1,17.84,21.13
"[Na+].[O-]c1ccc(cc1)N=C1C=C(Cl)C(=O)C(Cl)=C1 |c:16,t:10|",44.12,62.58
CCN1/C(=C\C=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,19.4,27.78
CN(C)C=CC=CC=CC1=[N+](C)c2ccccc2C1(C)C,10.98,21.58
O=C(O)c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,40.29,58.25
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,32.76,42.43
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,15.38,19.48
CC(C=CC=C(C)C=CC1=C(C)C(O)CCC1(C)C)=CC=O,24.5,35.36
CN(C)c1ccc(/C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[se+]c32)cc1,48.53,70.55
CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O,55.42,66.16
N#CC(C#N)=C(C#N)C#N,27.28,31.31
CCCN(CCC)c1ccc(/C=C/c2cc(-c3ccc(OCC)cc3)cc(-c3ccc(OCC)cc3)[o+]2)cc1,56.8,79.63
CCN1/C(=C\C=C2\CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,49.82,71.82
COc1ccc(N(/C=C/C=C/C=C2\SC(=S)N(C)C2=O)C(C)=O)cc1,31.91,43.97
CCN1C(=O)C(=CC2=C(OC)C(=CC=C3Sc4ccccc4N3CC)CC2)SC1=S,13.73,12.04
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC=NCCCC[C@H](N)C(=O)O,30.64,41.54
